SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species;Id
5.1;3.5;1.4;0.2;Iris-setosa;1
4.9;3.0;1.4;0.2;Iris-setosa;2
4.7;3.2;1.3;0.2;Iris-setosa;3
4.6;3.1;1.5;0.2;Iris-setosa;4
5.0;3.6;1.4;0.2;Iris-setosa;5
5.4;3.9;1.7;0.4;Iris-setosa;6
4.6;3.4;1.4;0.3;Iris-setosa;7
5.0;3.4;1.5;0.2;Iris-setosa;8
4.4;2.9;1.4;0.2;Iris-setosa;9
4.9;3.1;1.5;0.1;Iris-setosa;10
5.4;3.7;1.5;0.2;Iris-setosa;11
4.8;3.4;1.6;0.2;Iris-setosa;12
4.8;3.0;1.4;0.1;Iris-setosa;13
4.3;3.0;1.1;0.1;Iris-setosa;14
5.8;4.0;1.2;0.2;Iris-setosa;15
5.7;4.4;1.5;0.4;Iris-setosa;16
5.4;3.9;1.3;0.4;Iris-setosa;17
5.1;3.5;1.4;0.3;Iris-setosa;18
5.7;3.8;1.7;0.3;Iris-setosa;19
5.1;3.8;1.5;0.3;Iris-setosa;20
5.4;3.4;1.7;0.2;Iris-setosa;21
5.1;3.7;1.5;0.4;Iris-setosa;22
4.6;3.6;1.0;0.2;Iris-setosa;23
5.1;3.3;1.7;0.3;Iris-setosa;24
4.8;3.4;1.9;0.4;Iris-setosa;25
5.0;3.0;1.6;0.2;Iris-setosa;26
5.0;3.4;1.6;0.2;Iris-setosa;27
5.2;3.5;1.5;0.4;Iris-setosa;28
5.2;3.4;1.4;0.2;Iris-setosa;29
4.7;3.2;1.6;0.2;Iris-setosa;30
4.8;3.1;1.6;0.2;Iris-setosa;31
5.4;3.4;1.5;0.4;Iris-setosa;32
5.2;4.1;1.5;0.1;Iris-setosa;33
5.5;4.2;1.4;0.2;Iris-setosa;34
4.9;3.1;1.5;0.2;Iris-setosa;35
5.0;3.2;1.2;0.2;Iris-setosa;36
5.5;3.5;1.3;0.4;Iris-setosa;37
4.9;3.6;1.5;0.3;Iris-setosa;38
4.4;3.0;1.3;0.2;Iris-setosa;39
5.1;3.4;1.5;0.3;Iris-setosa;40
5.0;3.5;1.3;0.3;Iris-setosa;41
4.5;2.3;1.3;0.2;Iris-setosa;42
4.4;3.2;1.3;0.2;Iris-setosa;43
5.0;3.5;1.3;0.2;Iris-setosa;44
5.1;3.8;1.6;0.3;Iris-setosa;45
4.8;3.0;1.9;0.2;Iris-setosa;46
5.1;3.8;1.4;0.4;Iris-setosa;47
4.6;3.2;1.6;0.2;Iris-setosa;48
5.3;3.7;1.6;0.2;Iris-setosa;49
5.0;3.3;1.5;0.2;Iris-setosa;50
